02/01/2020,El Moyo,La Moya,200
04/01/2020,El tanque de Parcelas,Parcelas,300
05/01/2020,El Diamante,Pueblo viejo,250
07/01/2020,lajas sector piedra tapia,La Moya,80
07/01/2020,El Diamante,Pueblo viejo,40
08/01/2020,Lajas,La Moya,91
08/01/2020,El tanque de Parcelas,Parcelas,209
08/01/2020,Innovación Andina,Parcelas,200
09/01/2020,El tanque de Parcelas,Parcelas,204
09/01/2020,El Diamante,Pueblo viejo,50
10/01/2020,Lajas,La Moya,134
10/01/2020,El tanque de Parcelas,Parcelas,523
10/01/2020,El Diamante,Pueblo viejo,151
11/01/2020,El tanque de Parcelas,Parcelas,350
11/01/2020,El Diamante,Pueblo viejo,270
11/01/2020,Alto de la cruz,El Abra,100
11/01/2020,Corredor ecológico,Siberia,50
12/01/2020,El tanque de Parcelas,Parcelas,210
12/01/2020,El Diamante,Pueblo viejo,250
12/01/2020,Minspray - Hosa,Vuelta grande,200
02/01/2021,El tanque de Parcelas,Parcelas,380
02/01/2021,El Diamante,Pueblo viejo,420
03/01/2021,Lajas,El Moyo,177
03/01/2021,El tanque de Parcelas,Parcelas,520
03/01/2021,Predios CAR - Río Bogotá,Rozo,1300
03/01/2021,El Moyo,La Moya,51
04/01/2021,Lajas,La Moya,245
04/01/2021,El tanque de Parcelas,Parcelas,400
04/01/2021,Predios CAR - Río Bogotá,Rozo,905
04/01/2021,Cercas vivas,Parcelas,250
05/01/2021,Predios CAR - Río Bogotá,Rozo,1970
05/01/2021,El Moyo,La Moya,30
06/01/2021,Predios CAR - Río Bogotá,Rozo,755
06/01/2021,Cercas vivas,Cetime,250
06/01/2021,Coliseo live,Siberia,1000
07/01/2021,El tanque de Parcelas,Parcelas,250
07/01/2021,Predios CAR - Río Bogotá,Rozo,1752
08/01/2021,Lajas,La Moya,60
08/01/2021,El tanque de Parcelas,Parcelas,375
08/01/2021,Predios CAR - Río Bogotá,Rozo,1400
09/01/2021,Lajas,La Moya,50
09/01/2021,El tanque de Parcelas,Parcelas,380
09/01/2021,Predios CAR - Río Bogotá,Rozo,320
10/01/2021,Lajas,La Moya,30
10/01/2021,El tanque de Parcelas,Parcelas,121
10/01/2021,El Diamante,Pueblo viejo,100
10/01/2021,Predios CAR - Río Bogotá,Rozo,150
10/01/2021,Cercas vivas,Parcelas,324
11/01/2021,El tanque de Parcelas,Parcelas,500
11/01/2021,Predios CAR - Río Bogotá,Rozo,1500
12/01/2021,El tanque de Parcelas,Parcelas,200
12/01/2021,El Moyo,La Moya,200
02/01/2022,El Diamante,Pueblo viejo,210
02/01/2022,Cercas vivas,La Moya,1200
03/01/2022,Lajas,La Moya,70
03/01/2022,El tanque de Parcelas,Parcelas,500
03/01/2022,El Moyo,La Moya,350
03/01/2022,Cercas vivas,Centro,300
04/01/2022,Lajas,La Moya,60
04/01/2022,El tanque de Parcelas,Parcelas,280
04/01/2022,El Diamante,Pueblo viejo,150
04/01/2022,El Moyo,La Moya,100
04/01/2022,Cercas vivas,Cetime,450
05/01/2022,El Diamante,Pueblo viejo,30
05/01/2022,El Moyo,La Moya,30
05/01/2022,Cercas vivas,Centro,450
05/01/2022,Alto de la cruz,El Abra,750
